filename,true_leakage,pred_leakage,true_types,pred_types
diabetes_ensemble_comparison.py,True,False,['multi-test'],[]
dkim_image-content-classification.py,True,True,['overlap'],['overlap']
dktalaicha_credit-card-fraud-detection-using-smote-adasyn.py,True,True,['overlap'],"['preprocessing', 'overlap']"
energy_poly_degree.py,True,True,['multi-test'],['multi-test']
fmartinez_sentiment-analysis.py,True,True,['overlap'],"['overlap', 'preprocessing']"
fraud_iterative_retrain.py,True,False,['multi-test'],[]
house_ridge_alpha.py,True,True,['multi-test'],['multi-test']
iris_svm_cv_test.py,True,True,['multi-test'],['multi-test']
jkowalski_customer-segmentation.py,True,True,['overlap'],"['preprocessing', 'overlap']"
lchen_house-price-regression.py,True,True,['overlap'],['overlap']
mnist_mlp_lr_search.py,True,True,['multi-test'],['multi-test']
mthompson_fraud-detection-imbalanced.py,True,True,['overlap'],"['overlap', 'preprocessing']"
nb_100841.py,True,True,['preprocessing'],['preprocessing']
nb_1020535.py,False,False,[],[]
nb_1080148.py,True,False,['multi-test'],[]
nb_1090319.py,True,True,['multi-test'],['multi-test']
nb_119047.py,True,True,['overlap'],['overlap']
nb_123174.py,False,False,[],[]
nb_1255091.py,True,True,['multi-test'],"['preprocessing', 'multi-test']"
nb_126643.py,False,False,[],[]
nb_132929.py,True,True,"['multi-test', 'preprocessing']",['preprocessing']
nb_175471.py,True,True,['preprocessing'],['preprocessing']
nb_177211.py,False,False,[],[]
nb_194503.py,True,True,"['multi-test', 'preprocessing']",['preprocessing']
nb_205857.py,True,True,"['multi-test', 'preprocessing']",['preprocessing']
nb_208753.py,True,True,['overlap'],"['preprocessing', 'overlap']"
nb_215757.py,False,False,[],[]
nb_228146.py,False,False,[],[]
nb_248151.py,True,True,"['multi-test', 'preprocessing']",['preprocessing']
nb_273933.py,True,True,"['multi-test', 'preprocessing']",['preprocessing']
nb_276778.py,True,True,['preprocessing'],['preprocessing']
nb_277256.py,True,True,['preprocessing'],"['preprocessing', 'multi-test']"
nb_292032.py,False,False,[],[]
nb_303674.py,True,False,"['multi_test', 'preprocessing', 'overlap']",[]
nb_305812.py,True,True,['overlap'],['overlap']
nb_312055.py,False,False,[],[]
nb_314549.py,True,True,['temporal'],['temporal']
nb_334422.py,True,True,"['multi_test', 'preprocessing']",['preprocessing']
nb_344814.py,True,True,"['multi_test', 'preprocessing', 'overlap']",['preprocessing']
nb_344873.py,True,True,['preprocessing'],['preprocessing']
nb_362989.py,True,True,"['multi_test', 'preprocessing']",['preprocessing']
nb_367494.py,False,False,[],[]
nb_387986.py,True,True,"['multi_test', 'preprocessing']",['preprocessing']
nb_393407.py,False,False,[],[]
nb_395947.py,True,True,['temporal'],['temporal']
nb_412121.py,False,False,[],[]
nb_418506.py,True,True,['temporal'],['temporal']
nb_424904.py,True,True,['preprocessing'],['preprocessing']
nb_443167.py,True,True,['overlap'],"['overlap', 'preprocessing']"
nb_469294.py,False,False,[],[]
nb_471253.py,True,False,['preprocessing'],[]
nb_473437.py,False,True,[],['preprocessing']
nb_481597.py,True,True,['preprocessing'],['preprocessing']
nb_487451.py,True,True,['temporal'],['temporal']
nb_504.py,True,True,['preprocessing'],['preprocessing']
nb_523902.py,False,False,[],[]
nb_529515.py,True,False,['temporal'],[]
nb_530009.py,True,True,['temporal'],['temporal']
nb_531589.py,False,False,[],[]
nb_572788.py,False,False,[],[]
nb_592925.py,True,True,['temporal'],['temporal']
nb_598984.py,True,True,['preprocessing'],['preprocessing']
nb_603551.py,False,False,[],[]
nb_610901.py,False,False,[],[]
nb_624818.py,False,False,[],[]
nb_626532.py,False,False,[],[]
nb_643056.py,False,False,[],[]
nb_661538.py,True,True,['overlap'],"['preprocessing', 'temporal']"
nb_706446.py,False,True,[],['temporal']
nb_715237.py,False,False,[],[]
nb_763527.py,True,True,['temporal'],"['preprocessing', 'temporal']"
nb_774290.py,True,True,['overlap'],"['overlap', 'temporal']"
nb_846642.py,True,False,['temporal'],[]
nb_851424.py,True,True,['temporal'],"['preprocessing', 'temporal']"
nb_858660.py,True,True,['temporal'],"['preprocessing', 'temporal']"
nb_859044.py,True,True,['temporal'],"['preprocessing', 'temporal']"
nb_863640.py,True,True,['temporal'],['temporal']
nb_882341.py,True,True,['overlap'],['overlap']
nb_893999.py,True,True,['temporal'],['temporal']
nb_917696.py,False,False,[],[]
nb_987075.py,True,True,['temporal'],['temporal']
news_algorithm_selection.py,True,False,['multi-test'],[]
rperez_sensor-fault-classifier.py,True,True,['overlap'],"['overlap', 'preprocessing']"
sensor_fault_rf_tuning.py,True,True,['multi-test'],['multi-test']
spam_threshold_tuning.py,True,False,['multi-test'],[]
telco_nestimators_search.py,True,False,['multi-test'],[]
test0.py,True,True,['preprocessing'],['preprocessing']
test1.py,True,False,['preprocessing'],[]
test1.py.ir.py,True,True,['preprocessing'],['preprocessing']
test3.py,True,True,['preprocessing'],['preprocessing']
test4.py,False,False,[],[]
testOversampler.py,True,True,['preprocessing'],['overlap']
testOversampler2.py,False,True,[],['overlap']
wine_depth_selection.py,True,True,['multi-test'],['multi-test']
yogmoh_news-category-cb1c88ac.py,True,False,"['preprocessing', 'overlap']",[]
ywilson_return-prediction.py,True,True,['overlap'],['preprocessing']
