pipeline_id,filename,has_leakage,leakage_type,line_start,line_end,notes
nb_100841,nb_100841.py,True,preprocessing,113,114,"CountVectorizer fitted on entire dataset before train_test_split; test data vocabulary leaks into training"
nb_100841,nb_100841.py,True,preprocessing,118,119,"TfidfTransformer fitted on entire dataset before train_test_split; IDF values computed using test data"
nb_1020535,nb_1020535.py,False,none,,,No leakage detected. train_test_split applied before CountVectorizer; fit only on X_train and transform only on X_test.
nb_1080148,nb_1080148.py,True,multi-test,183,194,"Xtestlr used first time for accuracy evaluation after initial fit"
nb_1080148,nb_1080148.py,True,multi-test,249,251,"Same Xtestlr reused for accuracy after C tuning via cross-validation on training set; test set influenced model selection indirectly"
nb_1080148,nb_1080148.py,True,multi-test,323,329,"do_classify function reuses Xtest for both training and test accuracy after cv_optimize; same test set evaluated multiple times across calls"
nb_1090319,nb_1090319.py,True,multi-test,48,48,"cross_val_score applied directly on X_test and Y_test after model training; test set used for cross-validation which should be reserved for final evaluation only"
nb_1090319,nb_1090319.py,True,multi-test,57,68,"Same X_test reused for evaluation of both GridSearch logistic regression model and GridSearch kNN model; test set used multiple times for model comparison and selection"
nb_1215904,nb_1215904.py,True,multi-test,148,148,"X_test evaluated with first model using model.evaluate"
nb_1215904,nb_1215904.py,True,multi-test,260,260,"Same X_test reused to evaluate a second deeper model; multiple models compared on the same test set without independent holdout"
nb_1215904,nb_1215904.py,True,preprocessing,1074,1075,"preprocess_input applied to full X dataset before train_test_split on line 1096; test data statistics influence preprocessing"
nb_1255091,nb_1255091.py,True,multi-test,558,593,"Three different models (DecisionTree, KNN, RandomForest) all evaluated on same x_test without independent holdout; test set used repeatedly for model comparison and selection"
nb_132929,nb_132929.py,True,preprocessing,4,4,"MinMaxScaler and Imputer fit_transform applied to full float_data and integer_data before train_test_split on line 63; test data statistics influence scaling parameters"
nb_132929,nb_132929.py,True,multi-test,63,63,"Seven models (6 SGDClassifier variants and GaussianNB) all evaluated on same X_test without independent holdout; test set used repeatedly for model comparison"
nb_175471,nb_175471.py,True,preprocessing,49,49,"train_X and test_X concatenated into full_data before scaling; StandardScaler and boxcox fitted on combined data including test set; test statistics leak into scaling parameters before train_test_split on line 50"
nb_194503,nb_194503.py,True,preprocessing,,,StandardScaler fit_transform applied to full X before train_test_split in Exercise 4; test data statistics influence mean and std used for scaling
nb_194503,nb_194503.py,True,multi-test,,,Three separate models in Exercise 1 and 2 and 3 all trained and validated on same Xsc with validation_split=0.2; same implicit validation slice used for model comparison before final test split in Exercise 4
nb_205857,nb_205857.py,True,preprocessing,9,9,"preprocessing.scale applied to full dataset before train_test_split; test data statistics influence scaling parameters"
